,text,label,polarity,textblob_polarity,textblob_sentiment,textblob_assessments,lm_polarity,lm,textblob
105,Royal Caribbean downgraded to sell from buy at CFRA,0,-1,0,0.0,[],-1,1,0
106,Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,-1,0,0.0,[],-1,1,0
107,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,-1,1,0.5,"[('more', 0.5)]",-1,1,0
108,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,-1,0,0.0,[],-1,1,0
109,Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,-1,0,0.0,[],-1,1,0
110,Sirius downgraded on valuation,0,-1,0,0.0,[],-1,1,0
111,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,-1,0,0.0,"[('double', 0.0)]",-1,1,0
112,SunTrust latest to trim Nielsen target,0,-1,1,0.5,"[('latest', 0.5)]",-1,1,0
113,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,-1,0,0.0,[],-1,1,0
114,Take-Two downgraded on murky game slate,0,-1,-1,-0.4,"[('game', -0.4)]",-1,1,1
115,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,-1,0,0.0,[],-1,1,0
116,Target Hospitality downgraded to perform from outperform at Oppenheimer,0,-1,0,0.0,[],-1,1,0
117,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
118,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,-1,0,0.0,[],0,0,0
119,Transocean started at sell with $3 stock price target at Deutsche Bank,0,-1,0,0.0,[],0,0,0
120,Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,-1,1,0.3666666666666667,"[('clean', 0.3666666666666667)]",-1,1,0
121,Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,-1,0,0.0,[],-1,1,0
122,Wells Fargo Downgrades Netflix On Spending Concerns,0,-1,0,0.0,[],-1,1,0
123,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,-1,0,0.0,[],-1,1,0
124,Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,-1,0,0.0,[],-1,1,0
125,WWE stock price target cut to $57 from $79 at Benchmark,0,-1,0,0.0,[],-1,1,0
126,$ALTG: Dougherty & Company starts at Buy,1,1,0,0.0,[],0,0,0
127,$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1,1,1,0.4333333333333333,"[('strong', 0.4333333333333333)]",1,1,1
128,$ANCUF: BMO Capital Markets ups to Outperform,1,1,0,0.0,[],1,1,0
129,$BHE: Lake Street starts at Buy,1,1,0,0.0,[],0,0,0
130,$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1,1,0,0.0,[],1,1,0
131,$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1,1,0,0.0,"[('big', 0.0)]",1,1,0
132,$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1,1,0,0.0,[],1,1,0
133,$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1,1,0,0.0,"[('big', 0.0)]",1,1,0
134,$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1,1,0,0.0,[],0,0,0
135,"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1,1,1,0.5,"[('more', 0.5)]",0,0,1
136,$GBT: Cantor Fitzgerald resumes at Overweight,1,1,0,0.0,[],0,0,0
137,$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1,1,0,0.0,[],1,1,0
138,$GOOS: Barclays starts at Overweight,1,1,0,0.0,[],0,0,0
139,$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1,1,0,0.0,[],1,1,0
140,"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1,1,1,0.13636363636363635,"[('new', 0.13636363636363635)]",1,1,1
141,$JD: Barclays ups to Overweight,1,1,0,0.0,[],1,1,0
142,$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1,1,0,0.0,[],0,0,0
143,$KIM: Compass Point ups to Neutral,1,1,0,0.0,[],1,1,0
144,$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1,1,1,0.11363636363636363,"[('low', 0.0), ('positive', 0.22727272727272727)]",1,1,1
145,$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1,1,1,0.3,"[('compelling', 0.3)]",1,1,1
146,$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1,1,0,0.0,[],0,0,0
147,"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1,1,0,0.0,[],1,1,0
148,$NBY Rated buy https://t.co/xWbLXU1yOY,1,1,0,0.0,[],0,0,0
149,$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1,1,1,0.4333333333333333,"[('strong', 0.4333333333333333)]",1,1,1
150,$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1,1,0,0.0,[],0,0,0
151,$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1,1,0,0.0,[],1,1,0
152,$OYST: Cowen starts at Outperform,1,1,0,0.0,[],0,0,0
153,$RAPT: BMO Capital Markets starts at Outperform,1,1,0,0.0,[],0,0,0
154,$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1,1,0,0.0,[],0,0,0
155,$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1,1,0,0.0,[],1,1,0
156,$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1,1,0,0.0,[],1,1,0
157,$STXS: Lake Street starts at Buy,1,1,0,0.0,[],0,0,0
158,$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1,1,0,0.0,[],1,1,0
159,"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1,1,0,0.0,[],1,1,0
160,$WABC: Maxim Group ups to Buy,1,1,0,0.0,[],0,0,0
161,$WRI: Compass Point ups to Buy,1,1,0,0.0,[],0,0,0
162,$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1,1,1,0.13636363636363635,"[('new', 0.13636363636363635)]",1,1,1
163,"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1,1,-1,-0.4,"[('game', -0.4)]",1,1,0
164,Adobe stock price target raised to $315 vs. $290 at Wedbush,1,1,0,0.0,[],1,1,0
165,Adobe stock price target raised to $318 vs. $310 at Instinet,1,1,0,0.0,[],1,1,0
166,Aegis Capital positive on Netflix usage trend,1,1,1,0.22727272727272727,"[('positive', 0.22727272727272727)]",1,1,1
167,"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1,1,0,0.0,[],-1,0,0
168,Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1,1,0,0.0,[],0,0,0
169,Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1,1,0,0.0,[],1,1,0
170,Allergan upgraded to buy from neutral at UBS,1,1,0,0.0,[],1,1,0
171,Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1,1,0,0.0,[],1,1,0
172,Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1,1,0,0.0,[],1,1,0
173,"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1,1,1,0.125,"[('higher', 0.25), ('potential', 0.0)]",1,1,1
174,Analyst: AT&T Is The Top Telecom Pick For 2020,1,1,1,0.5,"[('top', 0.5)]",0,0,1
175,Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1,1,0,0.09999999999999999,"[('mostly', 0.5), ('newly_public', 0.0), ('firm', -0.2)]",-1,0,0
176,Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1,1,1,0.25,"[('first', 0.25)]",1,1,1
177,Ansys stock price target raised to $265 from $235 at Benchmark,1,1,0,0.0,[],1,1,0
178,Anthem stock price target raised to $330 from $300 at SunTrust RH,1,1,0,0.0,[],1,1,0
179,Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1,1,0,0.0,[],1,1,0
180,arGen-X stock price target raised to $255 vs. $203 at Instinet,1,1,0,0.0,[],1,1,0
181,Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1,1,0,0.0,[],0,0,0
182,Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1,1,0,0.0,[],1,1,0
183,"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1,1,0,-0.05,"[('long', -0.05), ('long', -0.05)]",1,1,0
184,Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1,1,0,0.0,[],1,1,0
185,Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1,1,0,0.0,[],1,1,0
186,Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1,1,0,0.0,[],1,1,0
187,Baird bullish on beat-up Canada Goose,1,1,0,0.0,[],1,1,0
188,Baird likes drug wholesalers in premarket analyst action,1,1,0,0.1,"[('action', 0.1)]",1,1,0
189,Baird returns to Wingstop bull camp,1,1,0,0.0,[],0,0,0
190,Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1,1,0,0.0,[],0,0,0
191,Bank of America stock price target raised to $49 from $48 at Oppenheimer,1,1,0,0.0,[],1,1,0
192,Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1,1,0,0.0,[],1,1,0
193,"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1,1,0,0.0,[],1,1,0
194,Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1,1,0,0.0,[],0,0,0
195,Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1,1,0,0.0,[],1,1,0
196,Benchmark says this roof supplier is a Buy,1,1,0,0.0,[],0,0,0
197,Bernstein turns bullish on VMware's valuation,1,1,0,0.0,[],1,1,0
198,Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1,1,0,0.0,[],1,1,0
199,Best Buy stock price target raised to $105 from $86 at Oppenheimer,1,1,1,1.0,"[('best', 1.0)]",1,1,1
200,Biogen stock price target raised to $392 from $320 at Instinet,1,1,0,0.0,[],1,1,0
201,Biogen stock price target raised to $410 from $350 at SVB Leerink,1,1,0,0.0,[],1,1,0
202,Boeing stock price target raised to $427 from $406 at CFRA,1,1,0,0.0,[],1,1,0
203,"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",1,1,0,0.0,[],1,1,0
204,"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1,1,0,0.0,[],1,1,0
205,BTIG expects Domino's to boost buybacks,1,1,0,0.0,[],1,1,0
206,BTIG sees 'material improvement' to Ocwen book value,1,1,0,0.0,[],1,1,0
207,"Bull sees 2020 upsides for MU, WDC",1,1,0,0.0,[],1,1,0
208,Cabot upgraded to buy from neutral at UBS,1,1,0,0.0,[],1,1,0
209,"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",1,1,0,0.0,[],1,1,0
210,Capital Southwest initiated at outperform at Raymond James with $23.50 price target,1,1,0,0.0,[],1,1,0
211,Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
212,CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
213,CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
214,Ciena stock price target raised to $47 vs. $43 at Instinet,1,1,0,0.0,[],1,1,0
215,Citi gives big boost to Deere PT,1,1,0,0.0,"[('big', 0.0)]",1,1,0
216,Citi reels in PT on Nu Skin,1,1,0,0.0,[],0,0,0
217,"CITRON SAYS IT'S LONG ON LUCKIN COFFEE

MW vs CItron",1,1,0,-0.05,"[('long', -0.05)]",0,0,0
218,CNH Industrial upped to Buy at Deutsche Bank on valuation,1,1,0,0.0,[],1,1,0
219,Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1,1,0,0.0,[],1,1,0
220,Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
221,CSX stock price target raised to $90 from $72 at Deutsche Bank,1,1,0,0.0,[],1,1,0
222,CSX upgraded to buy from hold at Deutsche Bank,1,1,0,0.0,[],1,1,0
223,CVS Health stock price target raised to $90 from $85 at SunTrust RH,1,1,0,0.0,[],1,1,0
224,CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1,1,0,0.0,[],1,1,0
225,Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1,1,0,0.0,[],1,1,0
226,DLH Holdings maintained as buy with $7 price target at Canaccord,1,1,0,0.0,[],1,1,0
227,Domtar upgraded to market perform at BMO Capital,1,1,0,0.0,[],1,1,0
228,Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
229,"Earnings Update: Here's Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",1,1,0,0.0,[],1,1,0
230,Earnings Update: Here's Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,1,1,0,0.0,[],1,1,0
231,"Earnings Update: Here's Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",1,1,0,0.0,[],1,1,0
232,Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,1,1,0,0.0,[],1,1,0
233,Edgewell stock price target raised to $41 from $33 at CFRA,1,1,0,0.0,[],1,1,0
234,Elastic upgraded to buy from hold at Canaccord Genuity,1,1,0,0.0,[],1,1,0
235,"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",1,1,0,0.0,[],1,1,0
236,"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",1,1,0,0.0,[],1,1,0
237,Energizer shakes off JPMorgan's bear call,1,1,0,0.0,[],1,1,0
238,Equity Lifestyle Properties upgraded to outperform at BMO Capital,1,1,0,0.0,[],1,1,0
239,Estee Lauder stock price target raised to $238 from $202 at Raymond James,1,1,0,0.0,[],1,1,0
240,Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,1,1,0,0.0,[],0,0,0
241,FedEx stock price target raised to $168 from $163 at BofA Securities,1,1,0,0.0,[],1,1,0
242,FleetCor stock price target raised to $325 from $310 at CFRA,1,1,0,0.0,[],1,1,0
243,Ford's electric SUV impresses Credit Suisse,1,1,0,0.0,[],1,1,0
244,Fortinet stock price target raised to $115 from $104 at BMO Capital,1,1,0,0.0,[],1,1,0
245,Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1,1,0,0.0,[],1,1,0
